name,描述,标识符,事件级变量,类型,type
首页商品曝光,首页商品曝光次数,homePageGoodsImp,"商品ID、
商品名称、
流量位",计数器,counter
首页商品点击,首页商品点击,homePageGoodsClick,"商品ID、
商品名称、
流量位",计数器,counter
商品分类页面商品点击,商品分类listing页面的商品点击,listingPageGoodsClick,"商品ID、
商品名称
",计数器,counter
用户发起搜索,用户在搜索栏发起商品搜索,searchGoods,"搜索词
",计数器,counter
搜索有结果次数,用户搜索后返回结果是有搜索结果,searchResultView,搜索词,计数器,counter
搜索无结果次数,用户搜索后返回结果是无结果,searchNoResultView,搜索词,计数器,counter
搜索结果点击,点击搜索结果,searchResultClick,"商品ID、
商品名称、
搜索词",计数器,counter
浏览商品详情页,浏览商品详情页次数，商品详情页打开时触发,goodsDetailPageView,"商品ID、
商品名称",计数器,counter
加入购物车,加入购物车次数,addToCart,"商品ID、
商品名称、
购买数量",计数器,counter
订单结算,点击Check Out时触发,checkOut,"商品ID、
商品名称、
购买数量、
支付金额",计数器,counter
订单支付,"支付订单次数。
用户点击订单支付时触发，一个订单发送一次事件。",payOrder,"订单ID、
购买数量、
支付方式、
支付金额、
",计数器,counter
商品支付,"支付商品次数。
用户点击支付订单时触发，一个订单中每种商品发送一次事件。例如一个订单中购买了2个A，3个B，4个C，发送3次Pay SPU事件","paySPU
","商品ID、
商品名称、
购买数量、
支付金额、
订单ID、
支付方式",计数器,counter
订单支付成功,订单支付成功次数。用户支付成功时触发，一个订单发送一次事件。,payOrderSuccess,"订单ID、
购买数量、
支付方式、
支付金额",计数器,counter
商品支付成功,商品支付成功次数。用户支付成功时触发，一个订单中每种商品发送一次事件。例如一个订单中购买了2个A，3个B，4个C，发送3次Pay SPU Success事件,paySPUSuccess,"商品ID、
商品名称、
购买数量、
支付金额、
订单ID、
支付方式",计数器,counter
分享成功,分享成功时触发,shareActivity,分享渠道,计数器,counter